Nível;Indicador;1991;2000;2010;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Unidade
1;IDH;0.413;0.518;0.646;0.666;0.671;0.684;0.689;0.687;0.694;0.707;0.704;0.719;0.69;



